Masterfile_position,Block,Garden,Garden_Block,Year,SnowMeltDOY,Elev,GDD_nosnow,CWD_snow_min,GS_length,FDD_early,treat
46,6,Estess,E_6seed,2014,105,2553,3792.931777,-511.7,82,12.6410956,removal
47,6,Estess,E_6seed,2015,83,2553,3852.354711,-424.1,153,17.16978149,removal
48,6,Estess,E_6seed,2016,80,2553,3838.780175,-504.3,119,61.73035028,control
49,6,Estess,E_6seed,2017,88,2553,3811.138055,-582.2,96,20.38636539,removal
50,6,Estess,E_6seed,2018,84,2553,3997.667508,-658.7,107.2399587,35.30563668,removal
51,6,Estess,E_6seed,2019,98,2553,3627.071703,-609.6,111,13.87794269,removal
52,6,Estess,E_6seed,2020,95,2553,4082.051836,-694.1,86,23.15381038,removal
53,6,Estess,E_6seed,2021,95,2553,3968.306057,-597.2,94,22.00514349,removal
54,6,Estess,E_6seed,2022,92.34400145,2553,3952.864839,-569.6,106.5256729,43.28924586,removal
55,7,Estess,E_7seed,2014,105,2553,3792.931777,-505.3,80,10.5820305,control
56,7,Estess,E_7seed,2015,89,2553,3852.354711,-429.7,147,13.75497031,control
57,7,Estess,E_7seed,2016,80,2553,3838.780175,-504.3,119,61.73035028,control
58,7,Estess,E_7seed,2017,100,2553,3811.138055,-569.2,84,6.891223843,control
59,7,Estess,E_7seed,2018,84,2553,3997.667508,-702.1,95.07902117,35.30563668,control
60,7,Estess,E_7seed,2019,113,2553,3627.071703,-602.8,96,0,control
61,7,Estess,E_7seed,2020,96,2553,4082.051836,-695.1,85,23.15381038,control
62,7,Estess,E_7seed,2021,95,2553,3968.306057,-597.2,94,22.00514349,control
63,7,Estess,E_7seed,2022,92.21509648,2553,3952.864839,-569.4,99.78490352,35.77630664,control
64,8,Estess,E_8seed,2014,100,2553,3792.931777,-514.9,87,17.41173614,removal
65,8,Estess,E_8seed,2015,83,2553,3852.354711,-424.1,153,17.16978149,removal
66,8,Estess,E_8seed,2016,80,2553,3838.780175,-504.3,119,61.73035028,control
67,8,Estess,E_8seed,2017,88,2553,3811.138055,-582.2,96,20.38636539,removal
68,8,Estess,E_8seed,2018,84,2553,3997.667508,-658.7,107.8844835,35.30563668,removal
69,8,Estess,E_8seed,2019,98,2553,3627.071703,-609.6,111,13.87794269,removal
70,8,Estess,E_8seed,2020,95,2553,4082.051836,-694.1,86,23.15381038,removal
71,8,Estess,E_8seed,2021,95,2553,3968.306057,-597.2,94,22.00514349,removal
72,8,Estess,E_8seed,2022,92.21509648,2553,3952.864839,-573.1,107.1701978,44.00716721,removal
73,9,Estess,E_9seed,2014,107,2553,3792.931777,-505.3,80,10.5820305,control
74,9,Estess,E_9seed,2015,89,2553,3852.354711,-429.7,147,13.75497031,control
75,9,Estess,E_9seed,2016,80,2553,3838.780175,-504.3,119,61.73035028,control
76,9,Estess,E_9seed,2017,100,2553,3811.138055,-569.2,84,6.891223843,control
77,9,Estess,E_9seed,2018,84,2553,3997.667508,-703.2,94.82121123,35.30563668,control
78,9,Estess,E_9seed,2019,115,2553,3627.071703,-594.8,94,0,control
79,9,Estess,E_9seed,2020,96,2553,4082.051836,-695.1,85,23.15381038,control
80,9,Estess,E_9seed,2021,95,2553,3968.306057,-597.2,94,22.00514349,control
81,9,Estess,E_9seed,2022,92.47290642,2553,3952.864839,-569.4,99.52709358,35.77630664,control
82,10,Estess,E_10seed,2014,100,2553,3792.931777,-514.9,87,17.41173614,removal
83,10,Estess,E_10seed,2015,83,2553,3852.354711,-424.1,153,17.16978149,removal
84,10,Estess,E_10seed,2016,78,2553,3838.780175,-502.9,121,75.06754445,control
85,10,Estess,E_10seed,2017,88,2553,3811.138055,-582.2,96,20.38636539,removal
86,10,Estess,E_10seed,2018,84,2553,3997.667508,-658.9,108.1422934,35.30563668,removal
87,10,Estess,E_10seed,2019,98,2553,3627.071703,-609.6,111,13.87794269,removal
88,10,Estess,E_10seed,2020,95,2553,4082.051836,-694.1,86,23.15381038,removal
89,10,Estess,E_10seed,2021,95,2553,3968.306057,-597.2,94,22.00514349,removal
90,10,Estess,E_10seed,2022,92.47290642,2553,3952.864839,-573.1,107.4280077,44.00716721,removal
91,11,Estess,E_11seed,2014,105,2553,3792.931777,-511.7,82,12.6410956,control
92,11,Estess,E_11seed,2015,89,2553,3852.354711,-429.7,147,13.75497031,control
93,11,Estess,E_11seed,2016,81,2553,3838.780175,-504.7,118,59.69011128,control
94,11,Estess,E_11seed,2017,100,2553,3811.138055,-569.2,84,6.891223843,control
95,11,Estess,E_11seed,2018,84,2553,3997.667508,-702.1,95.07902117,35.30563668,control
96,11,Estess,E_11seed,2019,114,2553,3627.071703,-599,95,0,control
97,11,Estess,E_11seed,2020,96,2553,4082.051836,-695.1,85,23.15381038,control
98,11,Estess,E_11seed,2021,95,2553,3968.306057,-597.2,94,22.00514349,control
99,11,Estess,E_11seed,2022,92.21509648,2553,3952.864839,-569.4,99.78490352,35.77630664,control
100,12,Estess,E_12seed,2014,105,2553,3792.931777,-511.7,82,12.6410956,removal
101,12,Estess,E_12seed,2015,83,2553,3852.354711,-424.1,153,17.16978149,removal
102,12,Estess,E_12seed,2016,80,2553,3838.780175,-504.3,119,61.73035028,control
103,12,Estess,E_12seed,2017,88,2553,3811.138055,-582.2,96,20.38636539,removal
104,12,Estess,E_12seed,2018,84,2553,3997.667508,-658.7,107.2399587,35.30563668,removal
105,12,Estess,E_12seed,2019,98,2553,3627.071703,-609.6,111,13.87794269,removal
106,12,Estess,E_12seed,2020,95,2553,4082.051836,-694.1,86,23.15381038,removal
107,12,Estess,E_12seed,2021,95,2553,3968.306057,-597.2,94,22.00514349,removal
108,12,Estess,E_12seed,2022,92.21509648,2553,3952.864839,-569.6,106.5256729,43.28924586,removal
109,13,Estess,E_13seed,2014,107,2553,3792.931777,-505.3,80,10.5820305,control
110,13,Estess,E_13seed,2015,89,2553,3852.354711,-429.7,147,13.75497031,control
111,13,Estess,E_13seed,2016,80,2553,3838.780175,-504.3,119,61.73035028,control
112,13,Estess,E_13seed,2017,100,2553,3811.138055,-569.2,84,6.891223843,control
113,13,Estess,E_13seed,2018,84,2553,3997.667508,-703.2,94.9501162,35.30563668,control
114,13,Estess,E_13seed,2019,114,2553,3627.071703,-599,95,0,control
115,13,Estess,E_13seed,2020,96,2553,4082.051836,-695.1,85,23.15381038,control
116,13,Estess,E_13seed,2021,95,2553,3968.306057,-597.2,94,22.00514349,control
117,13,Estess,E_13seed,2022,92.34400145,2553,3952.864839,-569.4,99.65599855,35.77630664,control
118,14,Estess,E_14seed,2014,105,2553,3792.931777,-511.7,82,12.6410956,removal
119,14,Estess,E_14seed,2015,83,2553,3852.354711,-424.1,153,17.16978149,removal
120,14,Estess,E_14seed,2016,82,2553,3838.780175,-508.9,117,59.69011128,control
121,14,Estess,E_14seed,2017,88,2553,3811.138055,-582.2,96,20.38636539,removal
122,14,Estess,E_14seed,2018,84,2553,3997.667508,-660.5,106.9821487,35.30563668,removal
123,14,Estess,E_14seed,2019,98,2553,3627.071703,-609.6,111,13.87794269,removal
124,14,Estess,E_14seed,2020,95,2553,4082.051836,-694.1,86,23.15381038,removal
125,14,Estess,E_14seed,2021,95,2553,3968.306057,-597.2,94,22.00514349,removal
126,14,Estess,E_14seed,2022,92.34400145,2553,3952.864839,-569.6,106.267863,43.28924586,removal
127,15,Estess,E_15seed,2014,107.2011541,2553,3792.931777,-505.3,79.79884593,10.5820305,control
128,15,Estess,E_15seed,2015,89,2553,3852.354711,-429.7,147,13.75497031,control
129,15,Estess,E_15seed,2016,80,2553,3838.780175,-504.3,119,61.73035028,control
130,15,Estess,E_15seed,2017,100,2553,3811.138055,-569.2,84,6.891223843,control
131,15,Estess,E_15seed,2018,84,2553,3997.667508,-703.2,94.92418644,35.30563668,control
132,15,Estess,E_15seed,2019,114,2553,3627.071703,-599,95,0,control
133,15,Estess,E_15seed,2020,96,2553,4082.051836,-695.1,85,23.15381038,control
134,15,Estess,E_15seed,2021,95,2553,3968.306057,-597.2,94,22.00514349,control
135,15,Estess,E_15seed,2022,92.36993121,2553,3952.864839,-569.4,99.63006879,35.77630664,control
136,16,Estess,E_16seed,2014,102.1698213,2553,3792.931777,-512,84.83017865,17.41173614,removal
137,16,Estess,E_16seed,2015,83,2553,3852.354711,-424.1,153,17.16978149,removal
138,16,Estess,E_16seed,2016,81,2553,3838.780175,-504.7,118,59.69011128,control
139,16,Estess,E_16seed,2017,88,2553,3811.138055,-582.2,96,20.38636539,removal
140,16,Estess,E_16seed,2018,84,2553,3997.667508,-686.5,99.95551916,35.30563668,removal
141,16,Estess,E_16seed,2019,98,2553,3627.071703,-609.6,111,13.87794269,removal
142,16,Estess,E_16seed,2020,95,2553,4082.051836,-694.1,86,23.15381038,removal
143,16,Estess,E_16seed,2021,95,2553,3968.306057,-597.2,94,22.00514349,removal
144,16,Estess,E_16seed,2022,92.36993121,2553,3952.864839,-564.4,104.6614015,43.22652269,removal
145,17,Estess,E_17seed,2014,107.0531737,2553,3792.931777,-505.3,79.9468263,10.5820305,control
146,17,Estess,E_17seed,2015,89,2553,3852.354711,-429.7,147,13.75497031,control
147,17,Estess,E_17seed,2016,81,2553,3838.780175,-504.7,118,59.69011128,control
148,17,Estess,E_17seed,2017,100,2553,3811.138055,-569.2,84,6.891223843,control
149,17,Estess,E_17seed,2018,84,2553,3997.667508,-702.1,95.07216681,35.30563668,control
150,17,Estess,E_17seed,2019,112,2553,3627.071703,-606.2,97,0,control
151,17,Estess,E_17seed,2020,96,2553,4082.051836,-695.1,85,23.15381038,control
152,17,Estess,E_17seed,2021,95,2553,3968.306057,-597.2,94,22.00514349,control
153,17,Estess,E_17seed,2022,92.22195083,2553,3952.864839,-569.4,99.77804917,35.77630664,control
154,18,Estess,E_18seed,2014,102.021841,2553,3792.931777,-512,84.97815902,17.41173614,removal
155,18,Estess,E_18seed,2015,83,2553,3852.354711,-424.1,153,17.16978149,removal
156,18,Estess,E_18seed,2016,80,2553,3838.780175,-504.3,119,61.73035028,control
157,18,Estess,E_18seed,2017,88,2553,3811.138055,-582.2,96,20.38636539,removal
158,18,Estess,E_18seed,2018,84,2553,3997.667508,-683.8,100.1034995,35.30563668,removal
159,18,Estess,E_18seed,2019,98,2553,3627.071703,-609.6,111,13.87794269,removal
160,18,Estess,E_18seed,2020,95,2553,4082.051836,-694.1,86,23.15381038,removal
161,18,Estess,E_18seed,2021,95,2553,3968.306057,-597.2,94,22.00514349,removal
162,18,Estess,E_18seed,2022,92.22195083,2553,3952.864839,-564.4,104.8093819,43.22652269,removal
163,19,Estess,E_19seed,2014,107.2011541,2553,3792.931777,-505.3,79.79884593,10.5820305,control
164,19,Estess,E_19seed,2015,89,2553,3852.354711,-429.7,147,13.75497031,control
165,19,Estess,E_19seed,2016,80,2553,3838.780175,-504.3,119,61.73035028,control
166,19,Estess,E_19seed,2017,100,2553,3811.138055,-569.2,84,6.891223843,control
167,19,Estess,E_19seed,2018,84,2553,3997.667508,-703.2,94.92418644,35.30563668,control
168,19,Estess,E_19seed,2019,114,2553,3627.071703,-599,95,0,control
169,19,Estess,E_19seed,2020,96,2553,4082.051836,-695.1,85,23.15381038,control
170,19,Estess,E_19seed,2021,95,2553,3968.306057,-597.2,94,22.00514349,control
171,19,Estess,E_19seed,2022,92.36993121,2553,3952.864839,-569.4,99.63006879,35.77630664,control
172,20,Estess,E_20seed,2014,102.021841,2553,3792.931777,-512,84.97815902,17.41173614,removal
173,20,Estess,E_20seed,2015,83,2553,3852.354711,-424.1,153,17.16978149,removal
174,20,Estess,E_20seed,2016,80,2553,3838.780175,-504.3,119,61.73035028,control
175,20,Estess,E_20seed,2017,88,2553,3811.138055,-582.2,96,20.38636539,removal
176,20,Estess,E_20seed,2018,84,2553,3997.667508,-683.8,100.1034995,35.30563668,removal
177,20,Estess,E_20seed,2019,98,2553,3627.071703,-609.6,111,13.87794269,removal
178,20,Estess,E_20seed,2020,95,2553,4082.051836,-694.1,86,23.15381038,removal
179,20,Estess,E_20seed,2021,95,2553,3968.306057,-597.2,94,22.00514349,removal
180,20,Estess,E_20seed,2022,92.36993121,2553,3952.864839,-564.4,104.8093819,43.22652269,removal
181,21,Estess,E_21seed,2014,107.0531737,2553,3792.931777,-505.3,79.9468263,10.5820305,control
182,21,Estess,E_21seed,2015,89,2553,3852.354711,-429.7,147,13.75497031,control
183,21,Estess,E_21seed,2016,80,2553,3838.780175,-504.3,119,61.73035028,control
184,21,Estess,E_21seed,2017,100,2553,3811.138055,-569.2,84,6.891223843,control
185,21,Estess,E_21seed,2018,84,2553,3997.667508,-702.1,95.07216681,35.30563668,control
186,21,Estess,E_21seed,2019,113,2553,3627.071703,-602.8,96,0,control
187,21,Estess,E_21seed,2020,96,2553,4082.051836,-695.1,85,23.15381038,control
188,21,Estess,E_21seed,2021,95,2553,3968.306057,-597.2,94,22.00514349,control
189,21,Estess,E_21seed,2022,92.22195083,2553,3952.864839,-569.4,99.77804917,35.77630664,control
190,22,Estess,E_22seed,2014,102.021841,2553,3792.931777,-512,84.97815902,17.41173614,removal
191,22,Estess,E_22seed,2015,83,2553,3852.354711,-424.1,153,17.16978149,removal
192,22,Estess,E_22seed,2016,80,2553,3838.780175,-504.3,119,61.73035028,control
193,22,Estess,E_22seed,2017,88,2553,3811.138055,-582.2,96,20.38636539,removal
194,22,Estess,E_22seed,2018,84,2553,3997.667508,-683.8,100.1034995,35.30563668,removal
195,22,Estess,E_22seed,2019,98,2553,3627.071703,-609.6,111,13.87794269,removal
196,22,Estess,E_22seed,2020,95,2553,4082.051836,-694.1,86,23.15381038,removal
197,22,Estess,E_22seed,2021,95,2553,3968.306057,-597.2,94,22.00514349,removal
198,22,Estess,E_22seed,2022,92.22195083,2553,3952.864839,-564.4,104.8093819,43.22652269,removal
199,23,Estess,E_23seed,2014,107.0531737,2553,3792.931777,-505.3,79.9468263,10.5820305,control
200,23,Estess,E_23seed,2015,89,2553,3852.354711,-429.7,147,13.75497031,control
201,23,Estess,E_23seed,2016,80,2553,3838.780175,-504.3,119,61.73035028,control
202,23,Estess,E_23seed,2017,100,2553,3811.138055,-569.2,84,6.891223843,control
203,23,Estess,E_23seed,2018,84,2553,3997.667508,-702.1,95.07216681,35.30563668,control
204,23,Estess,E_23seed,2019,113,2553,3627.071703,-602.8,96,0,control
205,23,Estess,E_23seed,2020,96,2553,4082.051836,-695.1,85,23.15381038,control
206,23,Estess,E_23seed,2021,95,2553,3968.306057,-597.2,94,22.00514349,control
207,23,Estess,E_23seed,2022,92.22195083,2553,3952.864839,-569.4,99.77804917,35.77630664,control
208,24,Estess,E_24seed,2014,102.021841,2553,3792.931777,-512,84.97815902,17.41173614,removal
209,24,Estess,E_24seed,2015,83,2553,3852.354711,-424.1,153,17.16978149,removal
210,24,Estess,E_24seed,2016,80,2553,3838.780175,-504.3,119,61.73035028,control
211,24,Estess,E_24seed,2017,88,2553,3811.138055,-582.2,96,20.38636539,removal
212,24,Estess,E_24seed,2018,84,2553,3997.667508,-683.8,100.1034995,35.30563668,removal
213,24,Estess,E_24seed,2019,98,2553,3627.071703,-609.6,111,13.87794269,removal
214,24,Estess,E_24seed,2020,95,2553,4082.051836,-694.1,86,23.15381038,removal
215,24,Estess,E_24seed,2021,95,2553,3968.306057,-597.2,94,22.00514349,removal
216,24,Estess,E_24seed,2022,92.22195083,2553,3952.864839,-564.4,104.8093819,43.22652269,removal
217,25,Estess,E_25seed,2014,107.0531737,2553,3792.931777,-505.3,79.9468263,10.5820305,control
218,25,Estess,E_25seed,2015,89,2553,3852.354711,-429.7,147,13.75497031,control
219,25,Estess,E_25seed,2016,80,2553,3838.780175,-504.3,119,61.73035028,control
220,25,Estess,E_25seed,2017,100,2553,3811.138055,-569.2,84,6.891223843,control
221,25,Estess,E_25seed,2018,84,2553,3997.667508,-702.1,95.07216681,35.30563668,control
222,25,Estess,E_25seed,2019,113,2553,3627.071703,-602.8,96,0,control
223,25,Estess,E_25seed,2020,96,2553,4082.051836,-695.1,85,23.15381038,control
224,25,Estess,E_25seed,2021,95,2553,3968.306057,-597.2,94,22.00514349,control
225,25,Estess,E_25seed,2022,92.22195083,2553,3952.864839,-569.4,99.77804917,35.77630664,control
226,26,Estess,E_26seed,2014,102.021841,2553,3792.931777,-512,84.97815902,17.41173614,removal
227,26,Estess,E_26seed,2015,83,2553,3852.354711,-424.1,153,17.16978149,removal
228,26,Estess,E_26seed,2016,80,2553,3838.780175,-504.3,119,61.73035028,control
229,26,Estess,E_26seed,2017,88,2553,3811.138055,-582.2,96,20.38636539,removal
230,26,Estess,E_26seed,2018,84,2553,3997.667508,-683.8,100.1034995,35.30563668,removal
231,26,Estess,E_26seed,2019,98,2553,3627.071703,-609.6,111,13.87794269,removal
232,26,Estess,E_26seed,2020,95,2553,4082.051836,-694.1,86,23.15381038,removal
233,26,Estess,E_26seed,2021,95,2553,3968.306057,-597.2,94,22.00514349,removal
234,26,Estess,E_26seed,2022,92.22195083,2553,3952.864839,-564.4,104.8093819,43.22652269,removal
235,27,Estess,E_27seed,2014,107.2011541,2553,3792.931777,-505.3,79.79884593,10.5820305,control
236,27,Estess,E_27seed,2015,89,2553,3852.354711,-429.7,147,13.75497031,control
237,27,Estess,E_27seed,2016,79,2553,3838.780175,-503.9,120,68.88458422,control
238,27,Estess,E_27seed,2017,100,2553,3811.138055,-569.2,84,6.891223843,control
239,27,Estess,E_27seed,2018,84,2553,3997.667508,-703.2,94.92418644,35.30563668,control
240,27,Estess,E_27seed,2019,115,2553,3627.071703,-594.8,94,0,control
241,27,Estess,E_27seed,2020,96,2553,4082.051836,-695.1,85,23.15381038,control
242,27,Estess,E_27seed,2021,95,2553,3968.306057,-597.2,94,22.00514349,control
243,27,Estess,E_27seed,2022,92.36993121,2553,3952.864839,-569.4,99.63006879,35.77630664,control
244,28,Estess,E_28seed,2014,101.5778999,2553,3792.931777,-514.1,85.42210015,17.41173614,removal
245,28,Estess,E_28seed,2015,83,2553,3852.354711,-424.1,153,17.16978149,removal
246,28,Estess,E_28seed,2016,80,2553,3838.780175,-504.3,119,61.73035028,control
247,28,Estess,E_28seed,2017,88,2553,3811.138055,-582.2,96,20.38636539,removal
248,28,Estess,E_28seed,2018,84,2553,3997.667508,-683.8,100.5474407,35.30563668,removal
249,28,Estess,E_28seed,2019,95,2553,3627.071703,-605.9,114,13.87794269,removal
250,28,Estess,E_28seed,2020,95,2553,4082.051836,-694.1,86,23.15381038,removal
251,28,Estess,E_28seed,2021,95,2553,3968.306057,-597.2,94,22.00514349,removal
252,28,Estess,E_28seed,2022,92.36993121,2553,3952.864839,-566.1,105.253323,43.32768574,removal
253,29,Estess,E_29seed,2014,107.2011541,2553,3792.931777,-505.3,79.79884593,10.5820305,control
254,29,Estess,E_29seed,2015,89,2553,3852.354711,-429.7,147,13.75497031,control
255,29,Estess,E_29seed,2016,80,2553,3838.780175,-504.3,119,61.73035028,control
256,29,Estess,E_29seed,2017,100,2553,3811.138055,-569.2,84,6.891223843,control
257,29,Estess,E_29seed,2018,84,2553,3997.667508,-703.2,94.92418644,35.30563668,control
258,29,Estess,E_29seed,2019,114,2553,3627.071703,-599,95,0,control
259,29,Estess,E_29seed,2020,96,2553,4082.051836,-695.1,85,23.15381038,control
260,29,Estess,E_29seed,2021,95,2553,3968.306057,-597.2,94,22.00514349,control
261,29,Estess,E_29seed,2022,92.36993121,2553,3952.864839,-569.4,99.63006879,35.77630664,control
262,30,Estess,E_30seed,2014,102.021841,2553,3792.931777,-512,84.97815902,17.41173614,removal
263,30,Estess,E_30seed,2015,83,2553,3852.354711,-424.1,153,17.16978149,removal
264,30,Estess,E_30seed,2016,80,2553,3838.780175,-504.3,119,61.73035028,control
265,30,Estess,E_30seed,2017,88,2553,3811.138055,-582.2,96,20.38636539,removal
266,30,Estess,E_30seed,2018,84,2553,3997.667508,-683.8,100.1034995,35.30563668,removal
267,30,Estess,E_30seed,2019,98,2553,3627.071703,-609.6,111,13.87794269,removal
268,30,Estess,E_30seed,2020,95,2553,4082.051836,-694.1,86,23.15381038,removal
269,30,Estess,E_30seed,2021,95,2553,3968.306057,-597.2,94,22.00514349,removal
270,30,Estess,E_30seed,2022,92.36993121,2553,3952.864839,-564.4,104.8093819,43.22652269,removal
271,31,Estess,E_31seed,2014,105.386786,2553,3792.931777,-511.7,81.61321399,12.6410956,control
272,31,Estess,E_31seed,2015,86.91304348,2553,3852.354711,-428.3,149.0869565,13.75497031,control
273,31,Estess,E_31seed,2016,80.08695652,2553,3838.780175,-504.3,118.9130435,61.73035028,control
274,31,Estess,E_31seed,2017,95.82608696,2553,3811.138055,-580,88.17391304,12.94172478,control
275,31,Estess,E_31seed,2018,84,2553,3997.667508,-704.2,96.7385545,35.30563668,control
276,31,Estess,E_31seed,2019,108.2608696,2553,3627.071703,-615.7,100.7391304,0,control
277,31,Estess,E_31seed,2020,95.65217391,2553,4082.051836,-694.1,85.34782609,23.15381038,control
278,31,Estess,E_31seed,2021,95,2553,3968.306057,-601.3,94,22.00514349,control
279,31,Estess,E_31seed,2022,90.55556314,2553,3952.864839,-569.8,101.4444369,39.51386943,control
280,32,Estess,E_32seed,2014,105.386786,2553,3792.931777,-511.7,81.61321399,12.6410956,removal
281,32,Estess,E_32seed,2015,86.91304348,2553,3852.354711,-428.3,149.0869565,13.75497031,removal
282,32,Estess,E_32seed,2016,80.08695652,2553,3838.780175,-504.3,118.9130435,61.73035028,control
283,32,Estess,E_32seed,2017,95.82608696,2553,3811.138055,-580,88.17391304,12.94172478,removal
284,32,Estess,E_32seed,2018,84,2553,3997.667508,-704.2,96.7385545,35.30563668,removal
285,32,Estess,E_32seed,2019,108.2608696,2553,3627.071703,-615.7,100.7391304,0,removal
286,32,Estess,E_32seed,2020,95.65217391,2553,4082.051836,-694.1,85.34782609,23.15381038,removal
287,32,Estess,E_32seed,2021,95,2553,3968.306057,-601.3,94,22.00514349,removal
288,32,Estess,E_32seed,2022,90.55556314,2553,3952.864839,-569.8,101.4444369,39.51386943,removal
289,33,Estess,E_33seed,2014,105.386786,2553,3792.931777,-511.7,81.61321399,12.6410956,control
290,33,Estess,E_33seed,2015,86.91304348,2553,3852.354711,-428.3,149.0869565,13.75497031,control
291,33,Estess,E_33seed,2016,80.08695652,2553,3838.780175,-504.3,118.9130435,61.73035028,control
292,33,Estess,E_33seed,2017,95.82608696,2553,3811.138055,-580,88.17391304,12.94172478,control
293,33,Estess,E_33seed,2018,84,2553,3997.667508,-704.2,96.7385545,35.30563668,control
294,33,Estess,E_33seed,2019,108.2608696,2553,3627.071703,-615.7,100.7391304,0,control
295,33,Estess,E_33seed,2020,95.65217391,2553,4082.051836,-694.1,85.34782609,23.15381038,control
296,33,Estess,E_33seed,2021,95,2553,3968.306057,-601.3,94,22.00514349,control
297,33,Estess,E_33seed,2022,90.55556314,2553,3952.864839,-569.8,101.4444369,39.51386943,control
298,34,Estess,E_34seed,2014,105.386786,2553,3792.931777,-511.7,81.61321399,12.6410956,removal
299,34,Estess,E_34seed,2015,86.91304348,2553,3852.354711,-428.3,149.0869565,13.75497031,removal
300,34,Estess,E_34seed,2016,80.08695652,2553,3838.780175,-504.3,118.9130435,61.73035028,control
301,34,Estess,E_34seed,2017,95.82608696,2553,3811.138055,-580,88.17391304,12.94172478,removal
302,34,Estess,E_34seed,2018,84,2553,3997.667508,-704.2,96.7385545,35.30563668,removal
303,34,Estess,E_34seed,2019,108.2608696,2553,3627.071703,-615.7,100.7391304,0,removal
304,34,Estess,E_34seed,2020,95.65217391,2553,4082.051836,-694.1,85.34782609,23.15381038,removal
305,34,Estess,E_34seed,2021,95,2553,3968.306057,-601.3,94,22.00514349,removal
